ref_label,x,y
Brachy_Blank_scaffolds_len10k (n=2216192),0.533091276686892,8.21168417219496e-06
Brachy_Blank_scaffolds_len10k (n=2216192),0.53414241609186,7.6065671617223e-09
Brachy_Blank_scaffolds_len10k (n=2216192),0.535193555496829,4.25902244052799e-13
Brachy_Blank_scaffolds_len10k (n=2216192),0.536244694901797,0
Brachy_Blank_scaffolds_len10k (n=2216192),0.537295834306765,0
Brachy_Blank_scaffolds_len10k (n=2216192),0.538346973711733,5.91858573241042e-16
Brachy_Blank_scaffolds_len10k (n=2216192),0.539398113116701,9.08560696116485e-16
Brachy_Blank_scaffolds_len10k (n=2216192),0.540449252521669,2.64501039346647e-12
Brachy_Blank_scaffolds_len10k (n=2216192),0.541500391926638,4.84609663739105e-08
Brachy_Blank_scaffolds_len10k (n=2216192),0.542551531331606,5.36066062124659e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.543602670736574,0.00363201287352539
Brachy_Blank_scaffolds_len10k (n=2216192),0.544653810141542,0.0187013885051628
Brachy_Blank_scaffolds_len10k (n=2216192),0.54570494954651,0.0225509398755121
Brachy_Blank_scaffolds_len10k (n=2216192),0.546756088951479,0.00991928003313241
Brachy_Blank_scaffolds_len10k (n=2216192),0.547807228356447,0.00145092381416544
Brachy_Blank_scaffolds_len10k (n=2216192),0.548858367761415,2.11265879100479e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.549909507166383,1.9303517616577e-08
Brachy_Blank_scaffolds_len10k (n=2216192),0.550960646571351,4.99649656073471e-09
Brachy_Blank_scaffolds_len10k (n=2216192),0.55201178597632,5.60354260534037e-06
Brachy_Blank_scaffolds_len10k (n=2216192),0.553062925381288,0.000475692259387609
Brachy_Blank_scaffolds_len10k (n=2216192),0.554114064786256,0.00883477702704628
Brachy_Blank_scaffolds_len10k (n=2216192),0.555165204191224,0.0345874938584376
Brachy_Blank_scaffolds_len10k (n=2216192),0.556216343596192,0.0277093329729804
Brachy_Blank_scaffolds_len10k (n=2216192),0.557267483001161,0.00527777325109114
Brachy_Blank_scaffolds_len10k (n=2216192),0.558318622406129,7.83571825334923e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.559369761811097,7.13595083618412e-08
Brachy_Blank_scaffolds_len10k (n=2216192),0.560420901216065,4.49691040008179e-12
Brachy_Blank_scaffolds_len10k (n=2216192),0.561472040621033,1.05574311903382e-08
Brachy_Blank_scaffolds_len10k (n=2216192),0.562523180026002,1.16236511419839e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.56357431943097,0.000781839398309591
Brachy_Blank_scaffolds_len10k (n=2216192),0.564625458835938,0.00388304385525746
Brachy_Blank_scaffolds_len10k (n=2216192),0.565676598240906,0.00411596021067369
Brachy_Blank_scaffolds_len10k (n=2216192),0.566727737645874,0.0010355525818055
Brachy_Blank_scaffolds_len10k (n=2216192),0.567778877050843,6.1110423674161e-05
Brachy_Blank_scaffolds_len10k (n=2216192),0.568830016455811,7.438417516852e-07
Brachy_Blank_scaffolds_len10k (n=2216192),0.569881155860779,6.66057831618689e-10
